Time Increment, Driver's name, Company Name, CrateID, Crate Value, Status
9,Donna "Diesel Dynamo" Diaz,X-Files Deliveries,49102095,$428.43,UNLOADED,
10,Donna "Diesel Dynamo" Diaz,X-Files Deliveries,10197633,$84.21,UNLOADED,
10,Emily "Express Lane" Ellis,Amazonia Deliveries,11251856,$227.02,UNLOADED,
11,Donna "Diesel Dynamo" Diaz,X-Files Deliveries,58425797,$407.68,UNLOADED,
11,Emily "Express Lane" Ellis,Amazonia Deliveries,21463563,$83.56,UNLOADED,
11,Chuck "Cargo Cowboy" Collins,PostMates Express,84035173,$409.56,UNLOADED,
12,Donna "Diesel Dynamo" Diaz,X-Files Deliveries,77818029,$186.43,UNLOADED,
12,Emily "Express Lane" Ellis,Amazonia Deliveries,09442162,$51.17,UNLOADED,
12,Chuck "Cargo Cowboy" Collins,PostMates Express,01699032,$234.38,UNLOADED,
13,Donna "Diesel Dynamo" Diaz,X-Files Deliveries,19218490,$470.09,UNLOADED,
13,Emily "Express Lane" Ellis,Amazonia Deliveries,45914540,$387.57,UNLOADED,
13,Chuck "Cargo Cowboy" Collins,PostMates Express,79965028,$365.04,UNLOADED,
14,Donna "Diesel Dynamo" Diaz,X-Files Deliveries,15541022,$278.40,UNLOADED,
14,Emily "Express Lane" Ellis,Amazonia Deliveries,13615685,$312.88,UNLOADED AND NO REPLACEMENT,
14,Chuck "Cargo Cowboy" Collins,PostMates Express,90925037,$462.48,UNLOADED,
15,Donna "Diesel Dynamo" Diaz,X-Files Deliveries,82086664,$364.73,UNLOADED,
15,Larry "Lugnut" Lawson,Superhero Supply Service,87178465,$370.54,UNLOADED,
15,Chuck "Cargo Cowboy" Collins,PostMates Express,94581819,$421.94,UNLOADED,
16,Donna "Diesel Dynamo" Diaz,X-Files Deliveries,86007877,$253.64,UNLOADED,
16,Larry "Lugnut" Lawson,Superhero Supply Service,61134969,$66.53,UNLOADED,
16,Chuck "Cargo Cowboy" Collins,PostMates Express,25815283,$410.85,UNLOADED,
17,Donna "Diesel Dynamo" Diaz,X-Files Deliveries,75981888,$173.46,UNLOADED AND NO REPLACEMENT,
17,Larry "Lugnut" Lawson,Superhero Supply Service,94011940,$82.29,UNLOADED AND NO REPLACEMENT,
17,Chuck "Cargo Cowboy" Collins,PostMates Express,50004630,$288.90,UNLOADED AND NO REPLACEMENT,
18,Bill "Big Hauler" Bennett,Robin Hood Couriers,84728063,$472.94,UNLOADED,
19,Bill "Big Hauler" Bennett,Robin Hood Couriers,13924246,$450.48,UNLOADED,
19,Donna "Diesel Dynamo" Diaz,FedExpress,52077305,$405.43,UNLOADED,
20,Bill "Big Hauler" Bennett,Robin Hood Couriers,41524704,$53.14,UNLOADED,
20,Donna "Diesel Dynamo" Diaz,FedExpress,44274269,$492.29,UNLOADED,
20,Michelle "Mover Maven" Morgan,X-Files Deliveries,96336054,$489.99,UNLOADED AND NO REPLACEMENT,
21,Bill "Big Hauler" Bennett,Robin Hood Couriers,19533735,$269.43,UNLOADED,
21,Donna "Diesel Dynamo" Diaz,FedExpress,44567301,$309.21,UNLOADED,
22,Bill "Big Hauler" Bennett,Robin Hood Couriers,09911107,$174.01,UNLOADED AND NO REPLACEMENT,
22,Donna "Diesel Dynamo" Diaz,FedExpress,91952892,$489.24,UNLOADED,
22,Gary "Gravel Grinder" Gordon,DinoDash Couriers,79488832,$237.28,UNLOADED,
23,Donna "Diesel Dynamo" Diaz,FedExpress,86248271,$285.93,UNLOADED,
